Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado
Jul 2007,"1,551,111.3",30.7,"1,297,758.9",25.6,"59,791.0",1.2,"102,719.2",2.0,"68,750.2",1.4,"22,092.0",0.4,"1,926.0",0.038059827
Ago 2007,"1,599,193.0",31.6,"1,341,780.4",26.5,"67,913.8",1.3,"100,838.4",2.0,"68,654.4",1.4,"20,006.0",0.4,"1,998.4",0.039490529
Sep 2007,"1,629,774.0",32.2,"1,377,411.6",27.2,"68,500.0",1.4,"96,246.9",1.9,"68,629.1",1.4,"18,986.4",0.4,"1,364.2",0.026958056
Oct 2007,"1,672,209.1",33.0,"1,415,103.5",28.0,"69,179.0",1.4,"97,073.4",1.9,"68,686.7",1.4,"22,166.5",0.4,"1,137.2",0.022472292
Nov 2007,"1,703,563.9",33.7,"1,446,137.7",28.6,"69,538.7",1.4,"97,343.9",1.9,"65,830.5",1.3,"24,713.1",0.5,"1,141.4",0.022555289
Dic 2007,"1,717,512.4",33.9,"1,459,259.4",28.8,"72,908.9",1.4,"105,799.8",2.1,"62,564.9",1.2,"16,979.4",0.3,"1,736.3",0.034311151
Ene 2008,"1,738,998.0",34.4,"1,481,714.7",29.3,"69,831.4",1.4,"108,762.3",2.1,"61,546.6",1.2,"17,143.0",0.3,"1,472.1",0.029090276
Feb 2008,"1,755,240.7",34.7,"1,501,055.0",29.7,"70,266.3",1.4,"108,636.8",2.1,"53,476.8",1.1,"21,805.8",0.4,"1,651.9",0.032643317
Mar 2008,"1,763,321.1",34.8,"1,423,986.3",28.1,"141,683.1",2.8,"124,814.1",2.5,"50,470.6",1.0,"22,366.9",0.4,"1,552.6",0.030681042
Abr 2008,"1,781,303.2",35.2,"1,447,221.6",28.6,"141,495.6",2.8,"123,036.2",2.4,"45,962.0",0.9,"23,587.9",0.5,"1,722.7",0.034042401
May 2008,"1,814,594.5",35.9,"1,459,201.5",28.8,"145,625.0",2.9,"134,037.1",2.6,"43,888.6",0.9,"31,842.2",0.6,"1,862.7",0.036808951
Jun 2008,"1,818,978.0",35.9,"1,464,423.5",28.9,"145,246.5",2.9,"136,592.0",2.7,"38,020.5",0.8,"34,695.4",0.7,"2,176.8",0.043015904
Jul 2008,"1,833,833.6",36.2,"1,478,073.5",29.2,"145,529.2",2.9,"139,103.5",2.7,"31,536.9",0.6,"39,590.5",0.8,"2,005.9",0.039638737
Ago 2008,"1,859,324.2",36.7,"1,499,712.3",29.6,"147,601.8",2.9,"142,238.7",2.8,"31,636.9",0.6,"38,134.4",0.8,"1,679.5",0.033188722
Sep 2008,"1,863,223.3",36.8,"1,460,998.0",28.9,"190,637.2",3.8,"141,161.2",2.8,"30,874.4",0.6,"39,552.6",0.8,"1,839.9",0.036358399
Oct 2008,"1,907,632.3",37.7,"1,517,205.3",30.0,"186,144.6",3.7,"147,186.5",2.9,"22,322.3",0.4,"34,773.6",0.7,"2,166.3",0.042808413
Nov 2008,"1,921,453.1",38.0,"1,538,926.0",30.4,"181,311.3",3.6,"142,010.8",2.8,"22,401.6",0.4,"36,803.4",0.7,"1,993.6",0.039395676
Dic 2008,"1,883,580.7",37.2,"1,522,956.4",30.1,"167,375.2",3.3,"132,990.3",2.6,"20,824.1",0.4,"39,434.7",0.8,"1,715.9",0.033908026
Ene 2009,"1,902,817.0",37.6,"1,547,746.6",30.6,"162,411.3",3.2,"135,501.5",2.7,"20,880.0",0.4,"36,277.6",0.7,"1,430.1",0.028260311
Feb 2009,"1,903,142.0",37.6,"1,549,619.9",30.6,"159,662.5",3.2,"136,781.8",2.7,"20,943.9",0.4,"36,133.9",0.7,"1,605.6",0.031728379
Mar 2009,"1,873,559.8",37.0,"1,526,916.6",30.2,"153,846.3",3.0,"135,773.4",2.7,"20,414.8",0.4,"36,608.6",0.7,"1,673.0",0.033060275
Abr 2009,"1,863,206.5",36.8,"1,519,084.6",30.0,"153,272.5",3.0,"135,716.2",2.7,"20,419.0",0.4,"34,714.2",0.7,"1,863.0",0.036814879
May 2009,"1,850,380.0",36.6,"1,509,172.4",29.8,"150,337.1",3.0,"138,858.2",2.7,"20,420.2",0.4,"31,592.1",0.6,"1,777.0",0.035115427
Jun 2009,"1,853,551.2",36.6,"1,499,612.8",29.6,"148,894.8",2.9,"147,714.9",2.9,"24,918.4",0.5,"32,410.3",0.6,"1,780.8",0.035190519
Jul 2009,"1,867,391.2",36.9,"1,503,101.9",29.7,"146,626.2",2.9,"160,510.8",3.2,"24,960.6",0.5,"32,191.6",0.6,"1,380.6",0.027282138
Ago 2009,"1,851,298.9",36.6,"1,486,873.1",29.4,"140,451.3",2.8,"165,441.4",3.3,"25,007.5",0.5,"33,525.6",0.7,844.8,0.016694155
Sep 2009,"1,890,559.6",37.4,"1,503,122.0",29.7,"138,692.1",2.7,"188,854.2",3.7,"24,636.6",0.5,"35,254.7",0.7,799.7,0.01580293
Oct 2009,"1,898,035.0",37.5,"1,500,911.5",29.7,"127,902.2",2.5,"212,507.0",4.2,"23,148.2",0.5,"33,566.1",0.7,768.9,0.015194289
Nov 2009,"1,915,995.0",37.9,"1,493,259.9",29.5,"140,850.2",2.8,"223,342.6",4.4,"22,761.2",0.4,"35,781.1",0.7,763.1,0.015079675
Dic 2009,"1,957,629.8",38.7,"1,503,854.6",29.7,"140,700.4",2.8,"256,755.8",5.1,"12,550.3",0.2,"43,768.7",0.9,"1,235.9",0.02442271
Ene 2010,"1,959,690.9",38.7,"1,501,071.5",29.7,"136,200.3",2.7,"265,050.4",5.2,"12,773.1",0.3,"44,595.6",0.9,577.7,0.011415972
Feb 2010,"1,956,946.9",38.7,"1,505,485.3",29.8,"134,651.4",2.7,"262,997.4",5.2,"12,788.3",0.3,"41,024.4",0.8,911.9,0.018020123
Mar 2010,"1,955,013.4",38.6,"1,503,741.1",29.7,"132,377.4",2.6,"261,879.0",5.2,"12,614.5",0.2,"44,401.5",0.9,"1,083.2",0.021405195
Abr 2010,"1,952,943.1",38.6,"1,505,909.9",29.8,"131,744.7",2.6,"259,665.9",5.1,"12,586.1",0.2,"43,036.6",0.9,969.1,0.019150456
May 2010,"1,988,856.8",39.3,"1,525,815.5",30.2,"130,049.9",2.6,"268,644.6",5.3,"12,308.8",0.2,"52,038.0",1.0,886.3,0.017514239
Jun 2010,"2,001,230.0",39.5,"1,536,268.5",30.4,"126,898.3",2.5,"274,820.0",5.4,"12,276.3",0.2,"50,966.9",1.0,"1,213.0",0.023970182
Jul 2010,"2,011,092.9",39.7,"1,535,664.9",30.3,"126,808.4",2.5,"284,763.6",5.6,"12,290.5",0.2,"51,565.6",1.0,"1,227.3",0.024252765
Ago 2010,"2,029,913.0",40.1,"1,556,066.8",30.7,"125,225.8",2.5,"283,210.4",5.6,"11,973.9",0.2,"53,436.2",1.1,"1,200.5",0.023723168
Sep 2010,"2,053,251.4",40.6,"1,579,522.2",31.2,"126,253.8",2.5,"285,382.7",5.6,"12,002.8",0.2,"50,089.9",1.0,"1,285.9",0.025410764
Oct 2010,"2,070,201.4",40.9,"1,603,289.6",31.7,"125,596.5",2.5,"278,021.5",5.5,"12,016.6",0.2,"51,277.1",1.0,937.8,0.018531934
