value,group,percentage
50757.1,E,0.013375512
1886.8,F,0.00049721
2910584.8,A,0.767338875
272500.9,B,0.071841416
559867.8,C,0.147602065
0,D,0
50135.6,E,0.013217617
1634.7,F,0.000430968
2891217.6,A,0.762257776
289630.7,B,0.076359958
561477.9,C,0.148031368
0,D,0
50639.4,E,0.013350872
1768.5,F,0.000466258
2912237.2,A,0.763669195
290970.4,B,0.076300492
559336.9,C,0.146673616
0,D,0
50935.5,E,0.013356698
1539.8,F,0.000403778
2991103.8,A,0.773730308
269218.8,B,0.069640761
552935.5,C,0.143031798
0,D,0
52564.1,E,0.013597133
2994.8,F,0.000774686
3036143.8,A,0.768849935
275998.7,B,0.069891809
581254.2,C,0.147192387
0,D,0
55545.2,E,0.014065843
3132.4,F,0.000793225
3090301.5,A,0.775213562
270928.3,B,0.067963366
570861.1,C,0.143202619
0,D,0
54296.3,E,0.013620428
3369.3,F,0.000845201
3112665.9,A,0.779414708
264031.4,B,0.066113731
560649.2,C,0.14038713
0,D,0
56247.6,E,0.014084456
2978.1,F,0.000745719
3162884.3,A,0.779084839
259648.6,B,0.063956904
568016.8,C,0.139914469
0,D,0
69193.4,E,0.017043788
3091.1,F,0.000761403
3180600.3,A,0.782884776
258586.7,B,0.063649491
554971.9,C,0.136602846
0,D,0
68508.3,E,0.016862888
2627.1,F,0.000646644
3282697.4,A,0.788656683
265715,B,0.063837109
546573.3,C,0.131312343
0,D,0
67405.2,E,0.016193866
2486.5,F,0.000597373
3276514.3,A,0.774046172
285369.7,B,0.06741595
591752.5,C,0.13979605
0,D,0
79333.5,E,0.018741805
4689.2,F,0.00110778
3279639.7,A,0.774771926
279730,B,0.066082549
590249.3,C,0.139438667
0,D,0
83419.9,E,0.019706859
5296.8,F,0.0012513
3294594.5,A,0.777600191
278408.4,B,0.065710795
587543.6,C,0.138673823
0,D,0
76328.1,E,0.01801519
4229.5,F,0.000998259
3335259.9,A,0.782999685
295189.5,B,0.069299932
557505.1,C,0.130882249
0,D,0
71638.4,E,0.016818133
4874.3,F,0.001144311
3382159.3,A,0.784010686
302729.2,B,0.07017497
557901.4,C,0.12932586
0.1,D,2.31808E-08
71129.9,E,0.016488461
4597.7,F,0.001065782
3399487.2,A,0.785999842
302895.9,B,0.070032954
550069.3,C,0.127182236
0.1,D,2.31211E-08
72595.7,E,0.016784946
4697.9,F,0.001086208
3435837.3,A,0.787675969
298211,B,0.068365763
550938.7,C,0.126304343
0,D,0
77006.3,E,0.017653924
5043.3,F,0.001156192
3466873,A,0.790116297
299277.6,B,0.068206741
550720.6,C,0.125511757
0,D,0
70929.7,E,0.016165205
4476.5,F,0.001020215
3507109.8,A,0.791395492
301684.6,B,0.068076521
550273.2,C,0.124171684
0.1,D,2.25655E-08
72483.7,E,0.016356281
4645.2,F,0.001048211
3527507,A,0.790417377
299683.8,B,0.067150904
557322.3,C,0.124880611
0,D,0
78327.8,E,0.017551107
6201.8,F,0.001389653
3576444.8,A,0.796659862
289273.3,B,0.064436176
544101.1,C,0.121199552
0,D,0
79480.4,E,0.01770441
4813.5,F,0.001072216
3614472.9,A,0.796710826
303210.9,B,0.066834477
535846.6,C,0.118112599
0,D,0
83213.4,E,0.018342098
5969.2,F,0.001315745
3670486.6,A,0.793380487
311296.2,B,0.067287081
557345.1,C,0.120470874
0,D,0
87260.9,E,0.018861558
6597.5,F,0.001426058
3670341.4,A,0.792282197
299109.8,B,0.064566029
577628.6,C,0.124687272
0,D,0
85539,E,0.018464502
4113.7,F,0.000887986
3701441,A,0.797252686
292533.6,B,0.063008757
561494.5,C,0.120940195
0,D,0
87276,E,0.018798361
3716.2,F,0.000800432
3719430.3,A,0.799022925
294282.5,B,0.063218946
554874.9,C,0.11920045
0,D,0
86385.5,E,0.018557679
4922.9,F,0.001057557
3769050.6,A,0.799273568
305063.5,B,0.06469247
552162.4,C,0.117092833
0,D,0
89318.6,E,0.018941108
2976.7,F,0.000631246
3855970.6,A,0.802665093
306485.9,B,0.063798602
553582.6,C,0.115234652
0,D,0
87920.4,E,0.018301653
5199.9,F,0.00108242
3899992.7,A,0.801142847
325600.6,B,0.066885405
546496.7,C,0.112262241
0,D,0
95946.5,E,0.019709486
2282.3,F,0.000468834
3890551.8,A,0.800599059
322454.6,B,0.066354816
553688.8,C,0.113938268
0,D,0
92855.5,E,0.019107836
2332.2,F,0.000479921
3935893,A,0.800368757
333734.1,B,0.067865246
551773,C,0.112203729
0,D,0
96199.4,E,0.019562268
1677.7,F,0.000341162
3953143.1,A,0.799329869
344079.5,B,0.069573252
554095,C,0.112038617
0,D,0
94254,E,0.019058262
1886,F,0.000381351
4011684.1,A,0.799183721
354066.4,B,0.070534991
551279.1,C,0.109822526
0,D,0
102697.3,E,0.020458742
935.6,F,0.000186385
4059594.6,A,0.802760244
364206,B,0.072019531
536827.7,C,0.106154426
0,D,0
96416.6,E,0.019065799
942.7,F,0.000186413
4050052.7,A,0.800333879
384010,B,0.075884497
537448.7,C,0.106205631
0,D,0
88942.5,E,0.017575993
1017.3,F,0.000201029
4048604.3,A,0.799510472
365049.7,B,0.072089302
562608.5,C,0.111102828
0,D,0
87591.6,E,0.017297418
956.7,F,0.000188927
4084399.6,A,0.803042455
365720.7,B,0.071905121
550693.2,C,0.108272956
3.5,D,6.88142E-07
85339.5,E,0.01677878
1060.8,F,0.000208566
4150320.9,A,0.808973702
356426.6,B,0.069474085
530385.6,C,0.103381886
8.6,D,1.6763E-06
93211.7,E,0.018168671
1141.5,F,0.000222499
4179471.1,A,0.809462767
353785,B,0.068519623
534561.2,C,0.103531614
0,D,0
95448.2,E,0.018486015
1118.6,F,0.000216646
4225174.6,A,0.811860014
350508.4,B,0.067349585
532697.7,C,0.102356945
0,D,0
95933.6,E,0.018433476
